complexity,SNR,coverage rate,avg length,method,F1 score
"(8,2)",0.1,0.9411764705882353,11.365820710942359,MLE,0.21052631578947367
"(8,2)",0.1,0.8714285714285714,11.928659405143927,Data splitting,0.25
"(8,2)",0.1,0.84,5.00381825669794,Naive,0.5714285714285715
"(8,2)",0.1,0.9176470588235294,12.124865497687043,MLE,0.21052631578947367
"(8,2)",0.1,0.9555555555555556,12.16502975838285,Data splitting,0.3636363636363636
"(8,2)",0.1,0.5333333333333333,5.484137636120095,Naive,0.8
"(8,2)",0.1,0.9166666666666666,11.15627838457121,MLE,0.2857142857142857
"(8,2)",0.1,0.94,14.27187472030011,Data splitting,0.33333333333333337
"(8,2)",0.1,0.8,6.258377270369515,Naive,0.6666666666666666
"(8,2)",0.1,0.9538461538461539,11.956460739177581,MLE,0.2666666666666667
"(8,2)",0.1,0.8266666666666667,14.031876338258344,Data splitting,0.11764705882352941
"(8,2)",0.1,0.92,6.223024831746926,Naive,0.5714285714285715
"(8,2)",0.1,0.92,12.928688949827848,MLE,0.23529411764705882
"(8,2)",0.1,0.8769230769230769,14.448116479177948,Data splitting,0.2666666666666667
"(8,2)",0.1,0.8,7.784540499103868,Naive,0.5714285714285715
"(8,2)",0.1,0.8222222222222222,14.363152965183222,MLE,0.19999999999999998
"(8,2)",0.1,0.8307692307692308,18.371533629502593,Data splitting,0.2666666666666667
"(8,2)",0.1,0.775,10.33560985312997,Naive,0.4
"(8,2)",0.1,0.88,11.21216699791543,MLE,0.16666666666666669
"(8,2)",0.1,0.9466666666666667,15.542018262093361,Data splitting,0.11764705882352941
"(8,2)",0.1,0.775,7.551580193162676,Naive,0.4
"(8,2)",0.1,0.9142857142857143,12.838694201159036,MLE,0.25
"(8,2)",0.1,0.9333333333333333,11.402978881956967,Data splitting,0.3636363636363636
"(8,2)",0.1,0.8,5.674745250499755,Naive,0.5714285714285715
"(8,2)",0.1,0.8631578947368421,10.825833803081327,MLE,0.09523809523809525
"(8,2)",0.1,0.8352941176470589,14.069822639992683,Data splitting,0.10526315789473684
"(8,2)",0.1,0.7142857142857143,6.689810177492724,Naive,0.4444444444444445
"(8,2)",0.1,0.8,10.842182743554824,MLE,0.3636363636363636
"(8,2)",0.1,0.9846153846153847,15.253538519912114,Data splitting,0.2666666666666667
"(8,2)",0.1,0.85,6.0785607175429135,Naive,0.6666666666666666
"(8,2)",0.1,0.8545454545454545,12.452115651278792,MLE,0.15384615384615385
"(8,2)",0.1,1.0,13.233124361149937,Data splitting,0.4
"(8,2)",0.1,0.8666666666666667,6.01183156834757,Naive,0.8
"(8,2)",0.1,0.8,13.503827999441723,MLE,0.09523809523809525
"(8,2)",0.1,0.8666666666666667,14.414982789477797,Data splitting,0.2857142857142857
"(8,2)",0.1,0.75,7.938696824351899,Naive,0.4
"(8,2)",0.1,0.9076923076923077,13.602033477889567,MLE,0.2666666666666667
"(8,2)",0.1,0.9090909090909091,15.464675796040805,Data splitting,0.3076923076923077
