sparsity size,coverage rate,avg length,method,F1 score
2,0.7272727272727273,532.0268566528376,MLE,0.3076923076923077
2,0.8333333333333334,653.0936057907127,Data splitting,0.25
2,0.5,276.1698907807034,Naive,0.6666666666666666
2,0.9,613.3835997291441,MLE,0.28571428571428575
2,1.0,707.4747111701142,Data splitting,0.4444444444444445
2,0.7083333333333334,324.9026193098198,Naive,0.4
2,0.9375,558.8940722001304,MLE,0.5
2,1.0,611.1959498036292,Data splitting,0.4444444444444445
2,1.0,318.41095843047,Naive,0.8
2,0.96875,588.8671443313901,MLE,0.2
2,0.9625,690.4171185098927,Data splitting,0.0
2,0.90625,326.32016685510143,Naive,0.0
2,0.8214285714285714,575.1324386934019,MLE,0.0
2,1.0,670.9191859728774,Data splitting,0.28571428571428575
2,1.0,326.50249503265184,Naive,0.0
2,1.0,621.0359954546399,MLE,0.3333333333333333
2,1.0,742.0465911824652,Data splitting,0.4
2,1.0,326.6464876082386,Naive,0.8
2,0.9583333333333334,595.6697745669668,MLE,0.4
2,1.0,823.2264662563582,Data splitting,0.22222222222222224
2,1.0,351.89937651103537,Naive,0.5
2,0.8958333333333334,568.8238816853634,MLE,0.0
2,0.953125,624.3462913251585,Data splitting,0.2
2,1.0,330.3368497433943,Naive,0.3333333333333333
2,0.890625,571.5088990641129,MLE,0.0
2,0.8541666666666666,704.079925155626,Data splitting,0.0
2,0.8333333333333334,303.0123155533233,Naive,0.0
2,1.0,642.6728851903122,MLE,0.5
2,0.9583333333333334,712.9418306241369,Data splitting,0.4
2,1.0,396.81978837916586,Naive,0.6666666666666666
5,0.9375,564.0492805872943,MLE,0.3636363636363636
5,0.9464285714285714,683.1618872983103,Data splitting,0.3333333333333333
5,0.96875,311.4733796745107,Naive,0.22222222222222224
5,0.96875,541.795211429772,MLE,0.4444444444444445
5,1.0,650.1664200991456,Data splitting,0.5
5,1.0,318.25836648595197,Naive,0.7499999999999999
5,0.9821428571428571,565.4940529412199,MLE,0.3333333333333333
5,0.90625,663.6077856910993,Data splitting,0.22222222222222224
5,0.9166666666666666,333.2060666386954,Naive,0.25
5,1.0,594.7571652312756,MLE,0.15384615384615385
5,0.8333333333333334,612.8205125503632,Data splitting,0.1818181818181818
5,0.96875,343.72027967591293,Naive,0.22222222222222224
5,0.875,585.6864831129166,MLE,0.7499999999999999
5,0.825,634.0279314913348,Data splitting,0.6
5,0.875,336.6093750236291,Naive,0.7499999999999999
5,0.8472222222222222,598.2632003449229,MLE,0.42857142857142855
5,0.9642857142857143,733.7828831557817,Data splitting,0.5
5,0.9166666666666666,324.15251925784514,Naive,0.5454545454545454
5,0.71875,639.8004082164412,MLE,0.6666666666666665
5,0.9642857142857143,691.6371688607056,Data splitting,0.5
5,1.0,336.22697578324915,Naive,0.5
5,0.9444444444444444,588.1334761455322,MLE,0.5714285714285714
5,1.0,716.3714991844543,Data splitting,0.7142857142857143
5,0.9583333333333334,316.8743568057608,Naive,0.7272727272727272
5,0.9375,611.026534717157,MLE,0.4615384615384615
5,0.8194444444444444,719.6417018783109,Data splitting,0.42857142857142855
5,0.96875,375.6407768000304,Naive,0.6666666666666665
5,0.825,581.2525910960015,MLE,0.0
5,0.9375,666.6904394175788,Data splitting,0.1818181818181818
5,1.0,290.66839023603944,Naive,0.0
10,0.90625,568.5235211379971,MLE,0.33333333333333326
10,0.9722222222222222,717.2924968509279,Data splitting,0.3157894736842105
10,1.0,335.4550146630706,Naive,0.4444444444444445
10,0.9134615384615384,553.6619238864848,MLE,0.2608695652173913
10,0.8916666666666667,635.1372535080294,Data splitting,0.4
10,0.9166666666666666,331.18109573323494,Naive,0.4210526315789474
10,0.9285714285714286,591.3903994997396,MLE,0.23529411764705882
10,0.7875,688.2478913031443,Data splitting,0.6
10,0.725,342.951548134469,Naive,0.4
10,1.0,573.4985136334149,MLE,0.37499999999999994
10,0.9583333333333334,697.2354094118785,Data splitting,0.37499999999999994
10,0.96875,338.97421736887736,Naive,0.28571428571428575
10,0.8333333333333334,542.8376039994478,MLE,0.4210526315789474
10,0.8472222222222222,652.3886979217209,Data splitting,0.3157894736842105
10,0.90625,315.07659054591227,Naive,0.5555555555555556
10,0.85,586.5822044909253,MLE,0.6
10,1.0,684.0235824009317,Data splitting,0.47619047619047616
10,0.8571428571428571,338.7199457982454,Naive,0.588235294117647
10,0.8125,537.6816071788077,MLE,0.25
10,1.0,573.133050033655,Data splitting,0.15384615384615383
10,0.9375,290.8675940204507,Naive,0.28571428571428575
10,0.95,585.1182211855362,MLE,0.6
10,0.8571428571428571,717.457731775761,Data splitting,0.588235294117647
10,0.8333333333333334,339.0864288785859,Naive,0.625
10,0.9583333333333334,589.5937762156935,MLE,0.5
10,0.7857142857142857,677.8480844278955,Data splitting,0.3529411764705882
10,1.0,349.36886638820835,Naive,0.4615384615384615
10,1.0,559.1360823640916,MLE,0.4
10,0.9204545454545454,672.1262563960812,Data splitting,0.380952380952381
10,1.0,320.5698448670327,Naive,0.5
