sparsity size,coverage rate,avg length,method,F1 score
2,0.8333333333333334,239.7244587045825,MLE,0.5
2,1.0,378.8659390622051,Data splitting,0.6666666666666666
2,0.8888888888888888,111.59274693122335,Naive,0.8
2,1.0,200.97409324050693,MLE,0.28571428571428575
2,1.0,335.48123479509127,Data splitting,1.0
2,0.9,119.92199562351067,Naive,0.5714285714285715
2,1.0,214.1766039365074,MLE,0.8
2,0.75,275.4247923903797,Data splitting,0.5
2,0.7777777777777778,123.09664209710081,Naive,0.8
2,0.8333333333333334,210.57837613505217,MLE,0.4
2,1.0,217.01119121439316,Data splitting,0.8
2,0.9444444444444444,154.07896093354353,Naive,0.8
2,1.0,142.906782237233,MLE,0.8
2,0.6666666666666666,192.62829065348055,Data splitting,0.5714285714285715
2,1.0,82.13749631575236,Naive,0.8
2,0.8611111111111112,197.66483353030745,MLE,0.5
2,0.8666666666666667,179.25638636314793,Data splitting,0.5714285714285715
2,1.0,109.9719904383466,Naive,0.6666666666666666
2,0.8055555555555556,233.27134329596896,MLE,0.5
2,0.7333333333333333,391.0020541914449,Data splitting,0.5714285714285715
2,0.8,145.13799152382316,Naive,0.5714285714285715
2,1.0,237.78553945442906,MLE,0.5714285714285715
2,0.6666666666666666,307.3122735784626,Data splitting,0.5
2,1.0,125.7536765299187,Naive,0.6666666666666666
2,0.9523809523809523,190.08054037048345,MLE,0.4444444444444445
2,1.0,239.62344347861503,Data splitting,0.5714285714285715
2,1.0,105.49508744685558,Naive,0.6666666666666666
2,0.8333333333333334,173.04812163822245,MLE,0.5
2,0.9444444444444444,251.91513423590965,Data splitting,0.5
2,0.8333333333333334,134.4634757459123,Naive,0.6666666666666666
5,0.875,211.2847528291105,MLE,0.6153846153846154
5,1.0,246.84353404820317,Data splitting,0.8333333333333333
5,0.9047619047619048,127.28270451630988,Naive,0.8333333333333333
5,0.8571428571428571,214.97052094019685,MLE,0.6666666666666666
5,0.7666666666666667,249.3044430245808,Data splitting,0.8000000000000002
5,0.9333333333333333,116.93670383664153,Naive,0.8000000000000002
5,0.8148148148148148,198.42715428421147,MLE,0.7142857142857143
5,0.8809523809523809,239.11260529133233,Data splitting,0.8333333333333333
5,0.7619047619047619,115.65443800478621,Naive,0.8333333333333333
5,0.9583333333333334,194.5120584454788,MLE,0.7692307692307693
5,1.0,304.4288557240544,Data splitting,0.9090909090909091
5,0.8333333333333334,116.97451072235205,Naive,0.9090909090909091
5,0.8333333333333334,167.52313041822276,MLE,0.7692307692307693
5,0.9583333333333334,205.65730378882736,Data splitting,0.7692307692307693
5,0.8888888888888888,95.27507702325047,Naive,0.9090909090909091
5,0.7083333333333334,199.50647682162472,MLE,0.888888888888889
5,0.9523809523809523,261.083574312988,Data splitting,0.8333333333333333
5,1.0,123.11143017448015,Naive,0.9090909090909091
5,0.8125,196.84292808507357,MLE,0.7692307692307693
5,0.9047619047619048,217.11453422773775,Data splitting,0.8333333333333333
5,0.8888888888888888,120.7215896836138,Naive,0.9090909090909091
5,0.8809523809523809,226.79621351700075,MLE,0.8333333333333333
5,0.9333333333333333,314.07448092975704,Data splitting,1.0
5,0.9666666666666667,139.04820101954627,Naive,1.0
5,0.8541666666666666,205.80048954979335,MLE,0.7692307692307693
5,0.9791666666666666,219.39960235443448,Data splitting,0.7692307692307693
5,0.7333333333333333,119.93580517385017,Naive,0.8000000000000002
5,0.8888888888888888,211.22887100875573,MLE,0.7272727272727272
5,0.7777777777777778,207.04260262630936,Data splitting,0.7499999999999999
5,0.6666666666666666,132.55126831862484,Naive,0.888888888888889
8,0.9861111111111112,212.07446681019786,MLE,0.7000000000000001
8,0.9074074074074074,268.5754671021342,Data splitting,0.823529411764706
8,0.9583333333333334,122.2782167734111,Naive,0.875
8,0.8181818181818182,213.901336697959,MLE,0.7368421052631579
8,0.8888888888888888,263.8709175816512,Data splitting,0.823529411764706
8,0.7222222222222222,123.09372169218878,Naive,0.823529411764706
8,0.8333333333333334,233.92562234746543,MLE,0.888888888888889
8,1.0,334.3539346823446,Data splitting,0.875
8,0.9074074074074074,131.79552644137877,Naive,0.823529411764706
8,0.85,195.4936226583554,MLE,0.7777777777777777
8,1.0,238.28996908345258,Data splitting,1.0
8,0.8125,122.29109938693686,Naive,1.0
8,0.8333333333333334,184.02997455035128,MLE,0.9411764705882353
8,1.0,245.91280130735547,Data splitting,0.9333333333333333
8,1.0,106.04547419444255,Naive,1.0
8,1.0,214.03839131442732,MLE,0.9333333333333333
8,0.7083333333333334,235.29226619168458,Data splitting,1.0
8,0.8809523809523809,123.01820971458275,Naive,0.9333333333333333
8,0.85,209.96048353755302,MLE,0.7777777777777777
8,0.85,270.0575670204361,Data splitting,0.7777777777777777
8,0.7592592592592593,125.7341395638261,Naive,0.823529411764706
8,0.8958333333333334,244.8830620353364,MLE,1.0
8,0.7857142857142857,319.64596356854315,Data splitting,0.9333333333333333
8,1.0,140.7447361745005,Naive,1.0
8,0.9166666666666666,218.61784512593047,MLE,0.7777777777777777
8,0.9,259.4703701315636,Data splitting,0.888888888888889
8,0.9333333333333333,115.07371931378648,Naive,0.888888888888889
8,0.8076923076923077,208.33370238399073,MLE,0.6666666666666667
8,0.8148148148148148,274.91949229179505,Data splitting,0.7058823529411765
8,0.8666666666666667,118.45882142559859,Naive,0.888888888888889
