,day,dep_delay,distance,plane_age,seats,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,sched_dep_hour,sched_arr_hour
0,1,28.0,187,18.0,20,42.0,30.0,62.18,360.0,9.20624,10.5943568672,0.0,1017.8,10.0,23.783333333333335,0.9833333333333333
1,1,-12.0,1576,21.0,200,42.0,30.0,62.18,360.0,9.20624,10.5943568672,0.0,1017.8,10.0,23.416666666666668,4.083333333333333
2,1,6.0,1041,18.0,20,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.0,11.3
3,1,-7.0,1182,24.0,145,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.033333333333333,10.833333333333334
4,1,-4.0,1029,22.0,145,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.0,10.5
5,1,-2.0,541,23.0,162,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.0,10.3
6,1,1.0,1391,8.0,162,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.016666666666667,11.416666666666666
7,1,-5.0,2446,8.0,379,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.166666666666666,11.55
8,1,-4.0,1623,25.0,178,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.166666666666666,13.283333333333333
9,1,-4.0,2248,2.0,246,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.216666666666667,11.583333333333334
10,1,-4.0,1005,6.0,222,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.25,11.416666666666666
11,1,-1.0,213,11.0,88,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.283333333333333,9.983333333333333
12,1,-6.0,2586,10.0,379,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.416666666666666,12.366666666666667
13,1,15.0,765,17.0,20,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.083333333333334,9.8
14,1,13.0,187,17.0,20,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.166666666666666,9.416666666666666
15,1,14.0,1069,21.0,200,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.166666666666666,11.4
16,1,-5.0,2454,11.0,379,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.5,12.183333333333334
17,1,-5.0,1417,16.0,200,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.516666666666667,11.683333333333334
18,1,-4.0,2475,26.0,330,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.5,12.0
19,1,-5.0,718,16.0,95,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.666666666666666,11.4
20,1,-5.0,760,27.0,178,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.666666666666666,11.316666666666666
21,1,-3.0,828,10.0,95,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.666666666666666,11.666666666666666
22,1,-4.0,740,24.0,162,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.983333333333333,10.816666666666666
23,1,67.0,1598,9.0,379,41.0,30.0,64.63,250.0,9.20624,10.5943568672,0.0,1015.7,10.0,8.0,12.866666666666667
24,1,36.0,944,18.0,20,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.5,18.6
25,1,-9.0,483,11.0,88,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.166666666666666,17.233333333333334
26,1,2.0,1626,7.0,222,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.983333333333333,18.766666666666666
27,1,52.0,2586,27.0,178,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.916666666666666,19.933333333333334
28,1,2.0,266,11.0,20,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.583333333333334,16.883333333333333
29,1,-8.0,290,16.0,80,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.25,16.9
30,1,-2.0,509,11.0,20,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.983333333333333,18.133333333333333
31,1,43.0,187,13.0,20,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.0,16.35
32,1,-4.0,228,16.0,95,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.0,16.65
33,1,-10.0,425,16.0,95,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.166666666666666,17.283333333333335
34,1,-5.0,340,16.0,80,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.166666666666666,17.033333333333335
35,1,-2.0,1990,11.0,222,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.166666666666666,18.616666666666667
36,1,12.0,1089,10.0,222,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.166666666666666,18.333333333333332
37,1,-4.0,213,16.0,80,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.583333333333334,17.283333333333335
38,1,-4.0,665,10.0,88,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.633333333333333,18.15
39,1,3.0,2586,7.0,379,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.65,19.333333333333332
40,1,-2.0,2475,33.0,330,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.75,19.15
41,1,14.0,2475,11.0,379,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.5,18.816666666666666
42,1,51.0,1069,5.0,199,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.166666666666666,18.6
43,1,3.0,1069,6.0,379,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.983333333333333,19.166666666666668
44,1,12.0,1028,25.0,189,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.866666666666667,18.983333333333334
45,1,6.0,828,18.0,20,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.983333333333333,18.666666666666668
46,1,53.0,1089,12.0,200,42.0,34.0,73.06,10.0,4.60312,5.2971784336,0.0,1017.2,10.0,15.983333333333333,19.2
